,toughest,highest_mort
Iceland,38.3260747663551,-1046.4609402463514
Israel,56.17305555555544,3964.68089610353
Italy,67.07785046728974,18444.732025038025
Jamaica,66.902641509434,3035.2191017566442
Jordan,53.824859813084096,10304.297613199964
Japan,40.42305555555556,-768.3993512016722
Kazakhstan,64.58551401869161,17364.41879076691
Kenya,56.8729126213592,6311.812658290978
Kyrgyz Republic,53.50235849056604,9721.273506152937
Cambodia,49.71198113207542,3769.6759720549835
Kiribati,23.013425925925926,-3084.6609343270156
South Korea,49.98672897196263,-318.6318751790152
Kuwait,59.52990740740744,13864.415971998618
Laos,43.91533333333335,5449.191409094987
Lebanon,61.81867924528294,8632.180100729309
Liberia,47.984392523364505,-2259.7536717980156
Libya,66.35495049504956,15865.619482698974
Liechtenstein,43.887714285714274,6905.983180450085
Sri Lanka,59.06934579439252,2854.4107748939837
Lesotho,52.510373831775624,1155.5533683259805
Lithuania,44.3842990654206,26380.326526438388
Luxembourg,44.19638888888891,2151.1076979205354
Latvia,45.768411214953275,11746.741263854805
Macao,29.5869811320755,-264.1504917738828
Morocco,64.81462264150946,9115.05849827297
Monaco,49.95759259259256,19244.14835085315
Moldova,50.135140186915876,16535.05989045767
Madagascar,45.21185185185187,-509.6303245740088
Mexico,52.157547169811245,26282.470926774906
Mali,41.17722222222222,764.6881814459865
Malta,48.200092592592725,4107.169471026386
Myanmar,67.35084112149534,7343.971004313976
Mongolia,58.330185185185215,-2363.601984827196
Mozambique,51.32462962962954,5357.070938897976
Mauritania,38.991574074074066,6824.287049586983
Mauritius,41.00000000000001,-2379.596798399182
Malawi,43.285327102803734,-731.6914488660119
Malaysia,61.407169811320806,-2328.0073569267656
Namibia,43.423703703703694,10996.011198773987
Niger,24.142314814814817,4810.275829652981
Nigeria,51.12688679245283,4121.75962504599
Nicaragua,9.738584905660387,18579.366802695444
Netherlands,53.78999999999998,9236.97403781669
Norway,45.724859813084144,11.116673846250812
Nepal,61.445740740740774,13654.760973426995
New Zealand,40.3579629629629,-3414.4876131103433
Oman,60.131415094339694,3634.529605291629
Pakistan,53.558190476190454,15840.412611855965
Panama,65.44838095238097,8661.140967832383
Peru,69.22873786407771,37323.01114645206
Philippines,66.85219047619053,4284.836419557601
Papua New Guinea,48.82898148148147,-624.6710055250131
Poland,50.36785046728974,18281.872728494298
Portugal,56.24364485981304,13423.807446202685
Paraguay,55.02427184466014,10422.732531038451
Palestine,65.9314953271028,5804.710982762182
Qatar,59.97766355140189,1670.200349985912
Romania,52.59616822429905,22531.26133068611
Russia,47.802429906542095,29154.155597492714
Rwanda,60.06707547169819,6998.549945624975
Saudi Arabia,55.820291262135875,27671.693193234914
Sudan,38.73499999999996,16066.507203312962
Senegal,34.13990740740744,-704.9231155190143
Singapore,48.80907407407403,-198.5299072336091
Solomon Islands,30.000467289719605,-1731.1010673670162
Sierra Leone,38.87203703703703,-3256.684001018011
El Salvador,47.629065420560735,13513.858875192684
San Marino,44.30694444444443,24446.44757017023
Somalia,32.80214953271032,6469.3557806499775
Serbia,46.201214953271005,27482.32705066131
South Sudan,49.28111111111107,11624.868566989975
Suriname,65.35121495327101,6595.025054197963
Slovak Republic,48.705185185185215,18523.75706330072
Slovenia,50.46777777777775,12050.66143246043
Sweden,48.2416666666666,7654.326083222428
Eswatini,58.15149532710283,15474.99666089994
Seychelles,51.148796296296275,-9976.005941262105
Syria,45.77327102803736,3495.453377128988
Chad,41.42752380952382,9019.588523966988
Togo,44.37981481481484,3610.4599021679833
Thailand,49.81594339622642,1752.737660885149
Tajikistan,34.319626168224296,9537.786028691058
